,Unnamed: 0,stats_id,weapon_x,initiated,strip_location,body_location,created_date,gfycat_gfy_id,tournament_id,weapon_y,gender,fotl_name,fotr_name,left_score,right_score,touch,download_url
2969,14,CraftyAdmiredAfricanparadiseflycatcher,foil,fotl,fotl_half,,1652703825,CraftyAdmiredAfricanparadiseflycatcher,parisfoil2022,foil,male,Daniele Garozzo,Pierre Loisel,12,8,left,https://clips.fencingdatabase.com/parisfoil2022/CraftyAdmiredAfricanparadiseflycatcher.mp4
2970,15,GreatAptIguana,foil,fotr,fotl_warning_box,,1652704303,GreatAptIguana,stpetersburgfoil2019,foil,male,Rostyslav Hertsyk,Dominik Schoppa,11,7,right,https://clips.fencingdatabase.com/stpetersburgfoil2019/GreatAptIguana.mp4
2971,16,HarmoniousMelodicBullfrog,foil,,,,1652704721,HarmoniousMelodicBullfrog,stpetersburgfoil2019,foil,male,Richard Kruse,Luka Gaganidze,11,13,right,https://clips.fencingdatabase.com/stpetersburgfoil2019/HarmoniousMelodicBullfrog.mp4
2972,17,IllThunderousLark,foil,fotl,fotr_half,,1652705134,IllThunderousLark,anaheimfoil2018,foil,,Ka Long Cheung,Guillaume Bianchi,9,7,left,https://clips.fencingdatabase.com/anaheimfoil2018/IllThunderousLark.mp4
2973,19,AlertScaredGenet,foil,,,,1652706667,AlertScaredGenet,parisfoil2022,foil,male,Adam Mathieu,Michal Siess,0,3,right,https://clips.fencingdatabase.com/parisfoil2022/AlertScaredGenet.mp4
2974,20,EmptyDelectableJoey,foil,neither,middle,,1652708830,EmptyDelectableJoey,anaheimfoil2018,foil,,Lorenzo Nista,Damiano Rosatelli,10,8,right,https://clips.fencingdatabase.com/anaheimfoil2018/EmptyDelectableJoey.mp4
2975,21,InnocentDistinctGreatwhiteshark,foil,fotl,fotl_half,,1652709008,InnocentDistinctGreatwhiteshark,parisfoil2022,foil,male,Matsuyama Kyosuke,Alexander Massialas,15,1,right,https://clips.fencingdatabase.com/parisfoil2022/InnocentDistinctGreatwhiteshark.mp4
2976,22,PessimisticSecretCalf,foil,fotr,middle,,1652709182,PessimisticSecretCalf,stpetersburgfoil2019,foil,male,Alexey Cheremisinov,Ivan Troshin,5,4,right,https://clips.fencingdatabase.com/stpetersburgfoil2019/PessimisticSecretCalf.mp4
2977,23,FrightenedCooperativeAmericanbulldog,foil,fotr,fotr_half,,1652709376,FrightenedCooperativeAmericanbulldog,tokyoolympics2020,foil,male,Guilherme Toldo,Saito Toshiya,2,2,left,https://clips.fencingdatabase.com/tokyoolympics2020/FrightenedCooperativeAmericanbulldog.mp4
2978,24,UnfoldedTightHeron,foil,fotl,fotr_warning_box,,1652717642,UnfoldedTightHeron,parisfoil2022,foil,male,Filippo Macchi,Abe Yoshiki,5,3,left,https://clips.fencingdatabase.com/parisfoil2022/UnfoldedTightHeron.mp4
2979,26,SlushyBleakChital,foil,fotl,fotr_warning_box,,1652736036,SlushyBleakChital,katowicefoil2019,foil,female,Mohamed Aida,Anastasiia Ivanova,2,4,right,https://clips.fencingdatabase.com/katowicefoil2019/SlushyBleakChital.mp4
2980,27,GrippingFelineAnemoneshrimp,foil,neither,fotr_half,,1652740119,GrippingFelineAnemoneshrimp,anaheimfoil2019,foil,,Race Imboden,Guillaume Bianchi,3,7,left,https://clips.fencingdatabase.com/anaheimfoil2019/GrippingFelineAnemoneshrimp.mp4
2981,28,AdmirableWildKingbird,foil,,,,1652769594,AdmirableWildKingbird,stpetersburgfoil2019,foil,male,Adam Mathieu,Nick Itkin,4,2,right,https://clips.fencingdatabase.com/stpetersburgfoil2019/AdmirableWildKingbird.mp4
2982,31,ElasticRecklessFiddlercrab,foil,,,,1652839111,ElasticRecklessFiddlercrab,anaheimfoil2018,foil,,Nicole Ross,Anne Sauer,8,13,right,https://clips.fencingdatabase.com/anaheimfoil2018/ElasticRecklessFiddlercrab.mp4
2983,32,EnergeticAnguishedCony,foil,,,,1652839260,EnergeticAnguishedCony,tokyoolympics2020,foil,male,Mohamed Hamza,Marcus Mepstead,8,9,right,https://clips.fencingdatabase.com/tokyoolympics2020/EnergeticAnguishedCony.mp4
2984,33,DecimalNaiveBovine,foil,,,,1652839400,DecimalNaiveBovine,kazanfoil2020,foil,female,Eleanor Harvey,Chen Qingyuan,7,8,right,https://clips.fencingdatabase.com/kazanfoil2020/DecimalNaiveBovine.mp4
2985,35,ThisRemarkableBarasingha,foil,fotl,middle,,1652858805,ThisRemarkableBarasingha,anaheimfoil2018,foil,,Jeremy Cadot,Benjamin Kleibrink,12,7,left,https://clips.fencingdatabase.com/anaheimfoil2018/ThisRemarkableBarasingha.mp4
2986,37,UniformOldEidolonhelvum,foil,fotl,fotr_warning_box,,1652859015,UniformOldEidolonhelvum,kazanfoil2020,foil,female,Anita Blaze,Ysaora Thibus,8,13,left,https://clips.fencingdatabase.com/kazanfoil2020/UniformOldEidolonhelvum.mp4
2987,38,SharpMediocreIndianglassfish,foil,fotr,fotl_half,,1652868025,SharpMediocreIndianglassfish,stpetersburgfoil2019,foil,male,Alexey Cheremisinov,Ivan Troshin,10,0,left,https://clips.fencingdatabase.com/stpetersburgfoil2019/SharpMediocreIndianglassfish.mp4
2988,40,EnergeticSpiritedBetafish,foil,neither,,,1652881380,EnergeticSpiritedBetafish,qatarfoil2021,foil,,Martyna Synoradzka,Maia Mei Weintraub,3,1,left,https://clips.fencingdatabase.com/qatarfoil2021/EnergeticSpiritedBetafish.mp4
2989,42,IdenticalFluidBuckeyebutterfly,foil,fotr,middle,,1652890250,IdenticalFluidBuckeyebutterfly,tokyoolympics2020,foil,male,Mohamed Hamza,Marcus Mepstead,5,6,right,https://clips.fencingdatabase.com/tokyoolympics2020/IdenticalFluidBuckeyebutterfly.mp4
2990,43,AnxiousHospitableCockatoo,foil,fotl,middle,,1652896945,AnxiousHospitableCockatoo,parisfoil2022,foil,male,Tyvan Bibard,Timur Arslanov,2,0,left,https://clips.fencingdatabase.com/parisfoil2022/AnxiousHospitableCockatoo.mp4
2991,44,LonelyHeftyAfricanrockpython,foil,fotr,fotr_half,,1652897390,LonelyHeftyAfricanrockpython,anaheimfoil2018,foil,,Thomas Berg,Abe Yoshiki,8,3,right,https://clips.fencingdatabase.com/anaheimfoil2018/LonelyHeftyAfricanrockpython.mp4
2992,46,PotableReadyFairybluebird,foil,fotr,fotl_half,,1652898143,PotableReadyFairybluebird,anaheimfoil2018,foil,,Claudia Borella,Inna Deriglazova,2,3,left,https://clips.fencingdatabase.com/anaheimfoil2018/PotableReadyFairybluebird.mp4
2993,49,SomberSlipperyHarrierhawk,foil,fotr,fotl_half,,1652898996,SomberSlipperyHarrierhawk,katowicefoil2019,foil,female,Ines Boubakri,Maria Boldor,11,12,right,https://clips.fencingdatabase.com/katowicefoil2019/SomberSlipperyHarrierhawk.mp4
2994,50,HarmlessDishonestGossamerwingedbutterfly,foil,fotr,fotl_warning_box,,1652901236,HarmlessDishonestGossamerwingedbutterfly,stpetersburgfoil2019,foil,male,Lee Kwanghyun,Alexander Sirotkin,14,8,left,https://clips.fencingdatabase.com/stpetersburgfoil2019/HarmlessDishonestGossamerwingedbutterfly.mp4
2995,51,JoyousAdventurousChimpanzee,foil,neither,fotl_half,,1652901444,JoyousAdventurousChimpanzee,parisfoil2022,foil,male,Guillaume Bianchi,Chase Emmer,5,10,right,https://clips.fencingdatabase.com/parisfoil2022/JoyousAdventurousChimpanzee.mp4
2996,53,UnfinishedSnarlingIcelandicsheepdog,foil,neither,middle,,1652904976,UnfinishedSnarlingIcelandicsheepdog,parisfoil2022,foil,male,Adam Mathieu,Michal Siess,0,10,right,https://clips.fencingdatabase.com/parisfoil2022/UnfinishedSnarlingIcelandicsheepdog.mp4
2997,55,LateSkeletalHog,foil,fotl,fotr_half,,1652912789,LateSkeletalHog,tauberbischofsheimfoil2022,foil,female,Leonie Ebert,Jessica Zi Jia Guo,11,11,left,https://clips.fencingdatabase.com/tauberbischofsheimfoil2022/LateSkeletalHog.mp4
2998,57,FirmGleamingHoverfly,foil,fotl,fotr_half,,1652938448,FirmGleamingHoverfly,parisfoil2022,foil,male,Mohamed Hamza,Lorenzo Nista,5,0,left,https://clips.fencingdatabase.com/parisfoil2022/FirmGleamingHoverfly.mp4
2999,58,BlushingUnconsciousGoldenmantledgroundsquirrel,foil,,,,1652957008,BlushingUnconsciousGoldenmantledgroundsquirrel,tauberbischofsheimfoil2022,foil,female,Lee Kiefer,Olga Rachele Calissi,7,7,right,https://clips.fencingdatabase.com/tauberbischofsheimfoil2022/BlushingUnconsciousGoldenmantledgroundsquirrel.mp4
3000,60,WellinformedDifferentAsianporcupine,foil,,,,1652957472,WellinformedDifferentAsianporcupine,qatarfoil2021,foil,,Tyvan Bibard,Alessio Foconi,3,5,right,https://clips.fencingdatabase.com/qatarfoil2021/WellinformedDifferentAsianporcupine.mp4
3001,61,LameDifferentBunting,foil,,,,1652959447,LameDifferentBunting,tauberbischofsheimfoil2022,foil,female,Maria Marino,Martina Batini,7,0,left,https://clips.fencingdatabase.com/tauberbischofsheimfoil2022/LameDifferentBunting.mp4
3002,62,PepperyPeriodicGardensnake,foil,,,,1652959559,PepperyPeriodicGardensnake,parisfoil2022,foil,male,Filippo Macchi,Matsuyama Kyosuke,14,0,double,https://clips.fencingdatabase.com/parisfoil2022/PepperyPeriodicGardensnake.mp4
3003,63,ReasonableBestBumblebee,foil,fotl,middle,,1653049895,ReasonableBestBumblebee,turinfoil2020,foil,,Ka Fung Lee,Kamal Minott,1,2,left,https://clips.fencingdatabase.com/turinfoil2020/ReasonableBestBumblebee.mp4
3004,65,DentalSolidImperatorangel,foil,neither,,,1653050395,DentalSolidImperatorangel,parisfoil2022,foil,male,Adam Mathieu,Shikine Takahiro,6,0,left,https://clips.fencingdatabase.com/parisfoil2022/DentalSolidImperatorangel.mp4
3005,66,AggressiveEagerBagworm,foil,fotr,fotr_half,,1653050589,AggressiveEagerBagworm,qatarfoil2021,foil,,Ysaora Thibus,Inna Deriglazova,0,1,right,https://clips.fencingdatabase.com/qatarfoil2021/AggressiveEagerBagworm.mp4
3006,68,WebbedWeakFlyingfox,foil,fotl,middle,,1653115211,WebbedWeakFlyingfox,kazanfoil2020,foil,female,Jacqueline Dubrovich,Tsuji Sumire,8,7,left,https://clips.fencingdatabase.com/kazanfoil2020/WebbedWeakFlyingfox.mp4
3007,70,PointedWellgroomedAardwolf,foil,,,,1653115491,PointedWellgroomedAardwolf,tauberbischofsheimfoil2022,foil,female,Olga Rachele Calissi,Camilla Mancini,1,7,right,https://clips.fencingdatabase.com/tauberbischofsheimfoil2022/PointedWellgroomedAardwolf.mp4
3008,71,TenderBaggyLeafbird,foil,fotr,fotl_warning_box,,1653115610,TenderBaggyLeafbird,katowicefoil2019,foil,female,Anastasiia Ivanova,Marta Martyanova,9,8,double,https://clips.fencingdatabase.com/katowicefoil2019/TenderBaggyLeafbird.mp4
3009,72,IlliterateMessyCricket,foil,,,,1653115709,IlliterateMessyCricket,katowicefoil2019,foil,female,Kikuchi Komaki,Elisa Di   Francisca,5,2,left,https://clips.fencingdatabase.com/katowicefoil2019/IlliterateMessyCricket.mp4
3010,73,CarefreeSpottedBlueshark,foil,fotr,middle,,1653115825,CarefreeSpottedBlueshark,qatarfoil2021,foil,,Marta Martyanova,Chen Qingyuan,0,1,right,https://clips.fencingdatabase.com/qatarfoil2021/CarefreeSpottedBlueshark.mp4
3011,76,SecondhandWellwornAvocet,foil,fotr,fotl_warning_box,,1653116491,SecondhandWellwornAvocet,turinfoil2020,foil,,Larisa Korobeynikova,Ysaora Thibus,3,7,left,https://clips.fencingdatabase.com/turinfoil2020/SecondhandWellwornAvocet.mp4
3012,79,CriminalImpartialDodobird,foil,,,,1653162745,CriminalImpartialDodobird,stpetersburgfoil2019,foil,male,Krystian Gryglewski,Daniele Garozzo,7,15,right,https://clips.fencingdatabase.com/stpetersburgfoil2019/CriminalImpartialDodobird.mp4
3013,80,BountifulCircularAfricanpiedkingfisher,foil,,,,1653188608,BountifulCircularAfricanpiedkingfisher,kazanfoil2020,foil,female,Leonie Ebert,Nishioka Shiho,11,8,left,https://clips.fencingdatabase.com/kazanfoil2020/BountifulCircularAfricanpiedkingfisher.mp4
3014,82,EvilSoftBedbug,foil,fotl,middle,,1653194393,EvilSoftBedbug,stpetersburgfoil2019,foil,male,Erwann Le   Pechoux,Alessio Foconi,11,12,left,https://clips.fencingdatabase.com/stpetersburgfoil2019/EvilSoftBedbug.mp4
3015,83,EnchantedHelpfulHaddock,foil,fotl,fotl_half,,1653204977,EnchantedHelpfulHaddock,anaheimfoil2019,foil,,Ka Long Cheung,Gerek Meinhardt,4,3,left,https://clips.fencingdatabase.com/anaheimfoil2019/EnchantedHelpfulHaddock.mp4
3016,84,SmoothDaringDugong,foil,fotl,fotr_warning_box,,1653205103,SmoothDaringDugong,qatarfoil2021,foil,,Vladislav Mylnikov,Rafael Savin,1,1,left,https://clips.fencingdatabase.com/qatarfoil2021/SmoothDaringDugong.mp4
3017,85,LimitedUglyGemsbuck,foil,neither,,,1653216287,LimitedUglyGemsbuck,parisfoil2022,foil,male,Marcello Olivares,Tommaso Marini,0,8,right,https://clips.fencingdatabase.com/parisfoil2022/LimitedUglyGemsbuck.mp4
3018,86,SparseLateArmyant,foil,fotl,middle,,1653216602,SparseLateArmyant,stpetersburgfoil2019,foil,male,Ueno Yuto,Enzo Lefort,7,8,right,https://clips.fencingdatabase.com/stpetersburgfoil2019/SparseLateArmyant.mp4
3019,87,QuarrelsomeThatBrahmanbull,foil,,,,1653226777,QuarrelsomeThatBrahmanbull,anaheimfoil2019,foil,,Edoardo Luperi,Ben Peggs,13,5,left,https://clips.fencingdatabase.com/anaheimfoil2019/QuarrelsomeThatBrahmanbull.mp4
3020,88,MediocreFancyBirdofparadise,foil,,,,1653226927,MediocreFancyBirdofparadise,stpetersburgfoil2019,foil,male,Pedro Marostega,Leszek Rajski,5,9,right,https://clips.fencingdatabase.com/stpetersburgfoil2019/MediocreFancyBirdofparadise.mp4
3021,89,DemandingUnevenHoverfly,foil,fotr,middle,,1653250756,DemandingUnevenHoverfly,tokyoolympics2020,foil,female,Ysaora Thibus,Pasztor Flora,13,12,left,https://clips.fencingdatabase.com/tokyoolympics2020/DemandingUnevenHoverfly.mp4
3022,90,CheerfulLazyDromaeosaur,foil,fotr,middle,,1653256469,CheerfulLazyDromaeosaur,kazanfoil2020,foil,female,Victoria Yusova,Hong Seo In,14,4,left,https://clips.fencingdatabase.com/kazanfoil2020/CheerfulLazyDromaeosaur.mp4
3023,93,NegligibleDisloyalAyeaye,foil,fotl,middle,,1653272695,NegligibleDisloyalAyeaye,parisfoil2022,foil,male,Alessio Foconi,Rafael Savin,15,0,left,https://clips.fencingdatabase.com/parisfoil2022/NegligibleDisloyalAyeaye.mp4
3024,94,SkeletalIgnorantGrayreefshark,foil,fotl,middle,,1653273092,SkeletalIgnorantGrayreefshark,anaheimfoil2018,foil,,Carlos Llavador,Richard Kruse,7,3,left,https://clips.fencingdatabase.com/anaheimfoil2018/SkeletalIgnorantGrayreefshark.mp4
3025,95,EnragedCrispArabianwildcat,foil,fotl,middle,,1653276586,EnragedCrispArabianwildcat,tokyoolympics2020,foil,female,Larisa Korobeynikova,Alice Volpi,3,5,left,https://clips.fencingdatabase.com/tokyoolympics2020/EnragedCrispArabianwildcat.mp4
3026,96,DetailedDigitalKillerwhale,foil,,,,1653288903,DetailedDigitalKillerwhale,qatarfoil2021,foil,,Eleanor Harvey,Alice Volpi,9,9,right,https://clips.fencingdatabase.com/qatarfoil2021/DetailedDigitalKillerwhale.mp4
3027,97,VillainousCornyAustrianpinscher,foil,fotr,middle,,1653290467,VillainousCornyAustrianpinscher,katowicefoil2019,foil,female,Francesca Palumbo,Lee Kiefer,6,8,right,https://clips.fencingdatabase.com/katowicefoil2019/VillainousCornyAustrianpinscher.mp4
3028,0,CarelessAcidicAmericanbobtail,foil,,,,1653358420,CarelessAcidicAmericanbobtail,anaheimfoil2018,foil,,Leonie Ebert,Camilla Mancini,14,12,left,https://clips.fencingdatabase.com/anaheimfoil2018/CarelessAcidicAmericanbobtail.mp4
3029,3,CompetentOrdinaryAtlanticblackgoby,foil,,,,1653383012,CompetentOrdinaryAtlanticblackgoby,anaheimfoil2018,foil,,Huo Xingxin,Freya Cenker,12,8,left,https://clips.fencingdatabase.com/anaheimfoil2018/CompetentOrdinaryAtlanticblackgoby.mp4
3030,4,TenderWebbedAyeaye,foil,,,,1653386512,TenderWebbedAyeaye,tokyoolympics2020,foil,male,Andre Sanita,Siu Lun Cheung,13,14,left,https://clips.fencingdatabase.com/tokyoolympics2020/TenderWebbedAyeaye.mp4
3031,5,HighlevelMasculineDanishswedishfarmdog,foil,fotr,fotl_half,,1653386652,HighlevelMasculineDanishswedishfarmdog,parisfoil2022,foil,male,Carlos Llavador,Chase Emmer,0,9,right,https://clips.fencingdatabase.com/parisfoil2022/HighlevelMasculineDanishswedishfarmdog.mp4
3032,8,WellgroomedDeepFawn,epee,fotr,fotl_half,front_leg,1653416319,WellgroomedDeepFawn,qatar2020,epee,,Auriane Mallo - Breton,Mara Navarria,2,3,right,https://clips.fencingdatabase.com/qatar2020/WellgroomedDeepFawn.mp4
