,stats_id,weapon,initiated,strip_location,body_location,created_date
12,PlainBoldCorydorascatfish,foil,fotr,fotl_half,,1667466366
13,NewGrippingAuk,foil,fotl,middle,,1667479099
14,BigEssentialKodiakbear,foil,,,,1667485305
15,CaringElectricAfricanbushviper,foil,fotl,fotl_warning_box,,1667487818
16,ImpeccableSoulfulGreathornedowl,foil,fotr,middle,,1667499740
17,DigitalBlindFeline,foil,,,,1667500766
18,DimMediocreAtlanticblackgoby,foil,fotr,fotl_warning_box,,1667527272
19,PassionateIllHochstettersfrog,foil,fotr,fotl_half,,1667527764
20,HauntingDangerousBengaltiger,foil,fotr,fotl_warning_box,,1667528223
21,ZigzagForcefulGull,foil,fotl,fotr_half,,1667568917
22,FarawayLoneBlackfootedferret,foil,fotr,middle,,1667610169
23,ImportantVastHoneyeater,foil,fotl,fotl_half,,1667616219
24,ThankfulPlayfulDartfrog,foil,,,,1667720520
25,BeneficialFemaleBoa,foil,,,,1667720752
26,GivingIncredibleKusimanse,foil,,,,1667720876
27,FlimsyComplicatedKingfisher,foil,,,,1667721137
28,PlushDeadlyHadrosaurus,foil,,,,1667745131
29,DampSaltyCod,foil,fotr,middle,,1667745427
30,PastelParallelEasteuropeanshepherd,foil,fotl,fotr_warning_box,,1667745686
31,PerfumedImpartialFeline,foil,fotr,fotl_half,,1667776308
32,IllZanyDachshund,foil,fotr,fotl_warning_box,,1667876977
33,EnormousJampackedGraywolf,foil,fotr,middle,,1667900919
34,BareDeafeningAmericanbadger,foil,,,,1667917813
35,EducatedFittingBasenji,foil,fotl,fotl_half,,1667934826
36,DismalGreedyGrebe,foil,fotl,fotl_warning_box,,1667935133
37,ClumsyAjarGar,foil,fotr,fotl_half,,1667947372
38,PartialEmotionalBasenji,foil,,,,1667947503
39,YellowishShortIriomotecat,foil,,,,1667948135
40,LankyInnocentHapuku,foil,,,,1667953043
41,LinedEntireFlyinglemur,foil,,,,1667953306
42,SlightPortlyBedlingtonterrier,foil,fotr,middle,,1667954670
43,NiceNearAsiantrumpetfish,foil,,,,1667955225
44,WeeklyMaleBluejay,sabre,,fotl_half,hand,1667997541
45,FriendlyFrightenedDanishswedishfarmdog,foil,,,,1668014499
46,OrangeHeartfeltHairstreakbutterfly,foil,fotr,fotr_half,,1668027182
47,SelfishColorfulCopperbutterfly,foil,fotl,fotr_warning_box,,1668028438
48,TerrificRewardingBassethound,foil,fotl,fotr_half,,1668030994
