,Unnamed: 0,stats_id,weapon_x,initiated,strip_location,body_location,created_date,gfycat_gfy_id,tournament_id,weapon_y,gender,fotl_name,fotr_name,left_score,right_score,touch,download_url
4757,38,AppropriateDisastrousBarnowl,sabre,fotr,middle,torso,1697979020,AppropriateDisastrousBarnowl,algierssabre2022,sabre,female,Sara Balzer,Martina Criscio,6,2,left,https://clips.fencingdatabase.com/algierssabre2022/AppropriateDisastrousBarnowl.mp4
4758,39,AngrySimpleIridescentshark,sabre,fotr,middle,front_arm,1697979136,AngrySimpleIridescentshark,algierssabre2022,sabre,female,Yoon Jisu,Nisanur Erbil,13,13,left,https://clips.fencingdatabase.com/algierssabre2022/AngrySimpleIridescentshark.mp4
4759,40,ThosePlumpDogwoodtwigborer,sabre,fotr,middle,front_arm,1697979180,ThosePlumpDogwoodtwigborer,algierssabre2022,sabre,female,Despina Georgiadou,Theodora Gkountoura,8,10,right,https://clips.fencingdatabase.com/algierssabre2022/ThosePlumpDogwoodtwigborer.mp4
4760,41,FamiliarGreatButterfly,sabre,fotr,middle,torso,1697979216,FamiliarGreatButterfly,algierssabre2022,sabre,female,Sara Balzer,Martina Criscio,14,8,right,https://clips.fencingdatabase.com/algierssabre2022/FamiliarGreatButterfly.mp4
4763,44,SoggyCalmGoa,sabre,fotr,middle,front_arm,1698546862,SoggyCalmGoa,algierssabre2022,sabre,female,Sara Balzer,Rebecca Gargano,10,8,right,https://clips.fencingdatabase.com/algierssabre2022/SoggyCalmGoa.mp4
4764,45,PinkEssentialAmericanredsquirrel,sabre,fotl,middle,hand,1698546939,PinkEssentialAmericanredsquirrel,algierssabre2022,sabre,female,Yoon Jisu,Nisanur Erbil,10,5,left,https://clips.fencingdatabase.com/algierssabre2022/PinkEssentialAmericanredsquirrel.mp4
4765,46,InferiorSnarlingJenny,sabre,fotl,fotl_warning_box,torso,1698546999,InferiorSnarlingJenny,algierssabre2022,sabre,female,Wakita Jumi,Saoussen Boudiaf,2,1,right,https://clips.fencingdatabase.com/algierssabre2022/InferiorSnarlingJenny.mp4
4766,47,LastCrazyLiger,sabre,fotl,fotl_half,front_arm,1698547050,LastCrazyLiger,algierssabre2022,sabre,female,Paola Pliego,Yoon Jisu,11,12,right,https://clips.fencingdatabase.com/algierssabre2022/LastCrazyLiger.mp4
4767,48,ConfusedDesertedGangesdolphin,sabre,fotl,fotl_half,torso,1698547089,ConfusedDesertedGangesdolphin,algierssabre2022,sabre,female,Elisabeth Gette,Pusztai Liza,5,5,right,https://clips.fencingdatabase.com/algierssabre2022/ConfusedDesertedGangesdolphin.mp4
4768,49,JollyConventionalKodiakbear,sabre,fotr,middle,hand,1698547114,JollyConventionalKodiakbear,algierssabre2022,sabre,female,Wakita Jumi,Saoussen Boudiaf,10,8,left,https://clips.fencingdatabase.com/algierssabre2022/JollyConventionalKodiakbear.mp4
4769,50,PhysicalBadGalapagosmockingbird,sabre,fotl,middle,front_arm,1698547178,PhysicalBadGalapagosmockingbird,algierssabre2022,sabre,female,Despina Georgiadou,Zhuang Chenyi,15,5,left,https://clips.fencingdatabase.com/algierssabre2022/PhysicalBadGalapagosmockingbird.mp4
4770,51,ThoseEnviousFoxterrier,sabre,fotl,middle,front_arm,1698547250,ThoseEnviousFoxterrier,algierssabre2022,sabre,female,Zhuang Chenyi,Mathilde Mouroux,0,1,right,https://clips.fencingdatabase.com/algierssabre2022/ThoseEnviousFoxterrier.mp4
4771,52,UncomfortableNegligibleIzuthrush,sabre,fotr,middle,head,1698547320,UncomfortableNegligibleIzuthrush,algierssabre2022,sabre,male,Tokunan Kenta,Maxime Pianfetti,6,12,left,https://clips.fencingdatabase.com/algierssabre2022/UncomfortableNegligibleIzuthrush.mp4
4772,53,EvilLargeGrasshopper,sabre,fotl,fotl_warning_box,front_arm,1698547376,EvilLargeGrasshopper,algierssabre2022,sabre,female,Theodora Gkountoura,Saoussen Boudiaf,11,11,left,https://clips.fencingdatabase.com/algierssabre2022/EvilLargeGrasshopper.mp4
4774,55,RipeDismalDogwoodtwigborer,sabre,fotr,fotl_warning_box,front_arm,1699209802,RipeDismalDogwoodtwigborer,algierssabre2022,sabre,female,Martina Criscio,Olga Kharlan,9,10,right,https://clips.fencingdatabase.com/algierssabre2022/RipeDismalDogwoodtwigborer.mp4
4775,56,WideeyedUnhealthyGopher,sabre,fotr,middle,torso,1699209860,WideeyedUnhealthyGopher,algierssabre2022,sabre,female,Toscane Tori,Sara Balzer,0,6,right,https://clips.fencingdatabase.com/algierssabre2022/WideeyedUnhealthyGopher.mp4
4776,57,VengefulBlushingLeafhopper,sabre,fotr,middle,front_arm,1699209911,VengefulBlushingLeafhopper,algierssabre2022,sabre,female,Despina Georgiadou,Theodora Gkountoura,13,14,left,https://clips.fencingdatabase.com/algierssabre2022/VengefulBlushingLeafhopper.mp4
4777,58,MeatySourClumber,sabre,fotl,middle,front_arm,1699209968,MeatySourClumber,algierssabre2022,sabre,female,Elisabeth Gette,Pusztai Liza,5,3,left,https://clips.fencingdatabase.com/algierssabre2022/MeatySourClumber.mp4
4778,59,KindheartedPerfectHake,sabre,fotl,middle,front_arm,1699210022,KindheartedPerfectHake,algierssabre2022,sabre,female,Despina Georgiadou,Theodora Gkountoura,9,11,right,https://clips.fencingdatabase.com/algierssabre2022/KindheartedPerfectHake.mp4
4779,60,AlertMiniatureFugu,sabre,fotr,fotl_warning_box,torso,1699210103,AlertMiniatureFugu,algierssabre2022,sabre,female,Martina Criscio,Emura Misaki,2,5,right,https://clips.fencingdatabase.com/algierssabre2022/AlertMiniatureFugu.mp4
4780,61,CompassionateTemptingEquestrian,sabre,fotr,middle,front_arm,1699210256,CompassionateTemptingEquestrian,algierssabre2022,sabre,female,Elisabeth Gette,Pusztai Liza,7,7,right,https://clips.fencingdatabase.com/algierssabre2022/CompassionateTemptingEquestrian.mp4
4781,62,FemaleSmugCats,sabre,fotl,fotl_warning_box,hand,1699210297,FemaleSmugCats,algierssabre2022,sabre,female,Despina Georgiadou,Nisanur Erbil,12,6,left,https://clips.fencingdatabase.com/algierssabre2022/FemaleSmugCats.mp4
4782,63,ShimmeringEvilBat,sabre,fotl,middle,front_arm,1699210329,ShimmeringEvilBat,algierssabre2022,sabre,female,Despina Georgiadou,Theodora Gkountoura,5,5,right,https://clips.fencingdatabase.com/algierssabre2022/ShimmeringEvilBat.mp4
4783,64,AlienatedVeneratedGoosefish,sabre,fotl,fotl_warning_box,hand,1699210368,AlienatedVeneratedGoosefish,algierssabre2022,sabre,female,Seo Jiyeon,Faustine Clapier,5,2,left,https://clips.fencingdatabase.com/algierssabre2022/AlienatedVeneratedGoosefish.mp4
4784,65,ScalyPleasantAmazonparrot,sabre,fotr,middle,torso,1699213888,ScalyPleasantAmazonparrot,cairosabre2019,sabre,male,William Deary,Oh Sanguk,2,4,right,https://clips.fencingdatabase.com/cairosabre2019/ScalyPleasantAmazonparrot.mp4
4786,67,ShabbyIllustriousAfricanpiedkingfisher,sabre,fotr,middle,torso,1699214111,ShabbyIllustriousAfricanpiedkingfisher,orleanssabre2021,sabre,,Luca Curatoli,Kim Junghwan,0,5,right,https://clips.fencingdatabase.com/orleanssabre2021/ShabbyIllustriousAfricanpiedkingfisher.mp4
4787,68,CautiousAngelicAzurewingedmagpie,sabre,fotl,fotl_half,head,1699214342,CautiousAngelicAzurewingedmagpie,tunisiasabre2022,sabre,female,Emura Misaki,Julika Funke,12,4,left,https://clips.fencingdatabase.com/tunisiasabre2022/CautiousAngelicAzurewingedmagpie.mp4
4796,77,ForcefulBonyBilby,sabre,fotl,middle,torso,1699223687,ForcefulBonyBilby,orleanssabre2022,sabre,,Gu Bongil,Decsi Tamas,8,4,left,https://clips.fencingdatabase.com/orleanssabre2022/ForcefulBonyBilby.mp4
4799,83,TerrificWildCreature,sabre,fotl,middle,front_arm,1699813246,TerrificWildCreature,algierssabre2022,sabre,female,Despina Georgiadou,Zhuang Chenyi,10,5,left,https://clips.fencingdatabase.com/algierssabre2022/TerrificWildCreature.mp4
4800,84,PastelMenacingDodobird,sabre,fotl,middle,hand,1699813294,PastelMenacingDodobird,algierssabre2022,sabre,male,Tokunan Kenta,Lorenz Kempf,1,0,left,https://clips.fencingdatabase.com/algierssabre2022/PastelMenacingDodobird.mp4
4801,85,PotableShamefulAracari,sabre,fotr,middle,torso,1699813361,PotableShamefulAracari,algierssabre2022,sabre,female,Martina Criscio,Olga Kharlan,11,10,left,https://clips.fencingdatabase.com/algierssabre2022/PotableShamefulAracari.mp4
4802,86,TanIllegalDove,sabre,fotr,fotl_half,torso,1699813404,TanIllegalDove,algierssabre2022,sabre,female,Martina Criscio,Emura Misaki,14,12,right,https://clips.fencingdatabase.com/algierssabre2022/TanIllegalDove.mp4
