,gfycat_gfy_id,tournament_id,weapon,gender,fotl_name,fotr_name,left_score,right_score,touch,download_url
0,ExaltedBossyKookaburra,dubai2018,epee,female,Laurence Epee,Laura Staehli,13,9,left,https://clips.fencingdatabase.com/dubai2018/ExaltedBossyKookaburra.mp4
0,GaseousBrightJellyfish,qatar2020,epee,,Anna Van   Brummen,Erika Kirpu,11,11,left,https://clips.fencingdatabase.com/qatar2020/GaseousBrightJellyfish.mp4
0,ImmenseWhirlwindCanine,berne2019,epee,male,Nikita Glazkov,Lan Minghao,1,2,right,https://clips.fencingdatabase.com/berne2019/ImmenseWhirlwindCanine.mp4
0,WeepyOrnateHamster,doha2019,epee,,Alessandra Bozza,Josephine Jacques   Andre   Coquin,13,13,right,https://clips.fencingdatabase.com/doha2019/WeepyOrnateHamster.mp4
0,SlipperyTestyLacewing,heidenheim2017,epee,male,Minobe Kazuyasu,Yan Sych,7,2,left,https://clips.fencingdatabase.com/heidenheim2017/SlipperyTestyLacewing.mp4
0,AbandonedDimwittedBlackfly,budapestwch2019,epee,female,Man Wai Vivian Kong,Kseniya Pantelyeyeva,4,6,left,https://clips.fencingdatabase.com/budapestwch2019/AbandonedDimwittedBlackfly.mp4
0,PalatableMadeupCats,budapest2020,epee,,Peterdi Andras,Yamada Masaru,6,13,double,https://clips.fencingdatabase.com/budapest2020/PalatableMadeupCats.mp4
0,BitesizedGentleAmericanavocet,doha2017,epee,,Richard Schmidt,Vadim Sharlaimov,8,3,left,https://clips.fencingdatabase.com/doha2017/BitesizedGentleAmericanavocet.mp4
0,CoolDevotedDog,qatar2020,epee,,Ana Maria Popescu,Tatyana Andryushina,2,0,left,https://clips.fencingdatabase.com/qatar2020/CoolDevotedDog.mp4
0,FearlessGoodBluebottlejellyfish,cali2018,epee,,Alexis Bayard,Kweon Youngjun,13,6,left,https://clips.fencingdatabase.com/cali2018/FearlessGoodBluebottlejellyfish.mp4
0,MasculineKnobbyGreatargus,bern2018,epee,male,Alexis Bayard,Dmitriy Alexanin,0,3,right,https://clips.fencingdatabase.com/bern2018/MasculineKnobbyGreatargus.mp4
0,DishonestSandyBobwhite,doha2019,epee,,Lim Joo Mi,Yu Sihan,3,3,left,https://clips.fencingdatabase.com/doha2019/DishonestSandyBobwhite.mp4
0,SpicySaneLacewing,wuxi2018,epee,male,Alexis Bayard,Kweon Youngjun,4,6,left,https://clips.fencingdatabase.com/wuxi2018/SpicySaneLacewing.mp4
0,ComplexZealousHadrosaurus,wuxi2018,epee,male,Jaakko Paavolainen,Kano Koki,2,4,right,https://clips.fencingdatabase.com/wuxi2018/ComplexZealousHadrosaurus.mp4
0,AbleShowyCaecilian,heidenheim2019,epee,male,Ido Harper,Bartlomiej Mancewicz,6,7,right,https://clips.fencingdatabase.com/heidenheim2019/AbleShowyCaecilian.mp4
0,IncompatibleLeanGreathornedowl,tallinn2019,epee,female,Coraline Vitalis,Francesca Boscarelli,11,9,left,https://clips.fencingdatabase.com/tallinn2019/IncompatibleLeanGreathornedowl.mp4
0,DeadlyElectricBorderterrier,dubai2019,epee,female,Man Wai Vivian Kong,Choi Injeong,4,5,right,https://clips.fencingdatabase.com/dubai2019/DeadlyElectricBorderterrier.mp4
0,CautiousIdealisticAcouchi,barcelona2019,epee,female,Kelley Hurley,Mara Navarria,6,2,left,https://clips.fencingdatabase.com/barcelona2019/CautiousIdealisticAcouchi.mp4
0,UnawareWelcomeGlassfrog,berne2019,epee,male,Sergey Bida,Lucas Malcotti,10,7,right,https://clips.fencingdatabase.com/berne2019/UnawareWelcomeGlassfrog.mp4
0,OptimisticConstantAssassinbug,heidenheim2018,epee,male,Jacob Hoyle,Gabriele Cimini,5,11,left,https://clips.fencingdatabase.com/heidenheim2018/OptimisticConstantAssassinbug.mp4
0,EnergeticWillingFlyingfish,wuxi2018,epee,male,Ricardo Candeias,Kano Koki,6,11,left,https://clips.fencingdatabase.com/wuxi2018/EnergeticWillingFlyingfish.mp4
0,WarmTightCaracal,berne2017,epee,male,Andrasfi Tibor,Kano Koki,3,2,left,https://clips.fencingdatabase.com/berne2017/WarmTightCaracal.mp4
0,PleasantScornfulCavy,heidenheim2019,epee,male,Stephan Rein,Alexandre Bardenet,3,8,right,https://clips.fencingdatabase.com/heidenheim2019/PleasantScornfulCavy.mp4
0,DifficultCelebratedIchthyostega,heidenheim2019,epee,male,Mateusz Nycz,Grigori Beskin,8,6,double,https://clips.fencingdatabase.com/heidenheim2019/DifficultCelebratedIchthyostega.mp4
0,EcstaticRemorsefulArgali,cali2019,epee,,Radoslaw Zawrotniak,Wang Zijie,6,3,left,https://clips.fencingdatabase.com/cali2019/EcstaticRemorsefulArgali.mp4
0,FearlessPerfectEwe,budapest2019,epee,,Kelley Hurley,Barbara Rutz,2,0,left,https://clips.fencingdatabase.com/budapest2019/FearlessPerfectEwe.mp4
0,DeliriousFaithfulAlpaca,wuxi2018,epee,female,Laura Staehli,Mara Navarria,1,5,right,https://clips.fencingdatabase.com/wuxi2018/DeliriousFaithfulAlpaca.mp4
0,GoodCornyAfricanwilddog,wuxi2018,epee,female,Kang Young Mi,Lin Sheng,8,5,left,https://clips.fencingdatabase.com/wuxi2018/GoodCornyAfricanwilddog.mp4
0,HeartyFemaleGrayfox,cairosabre2019,sabre,male,Vincent Anstett,Daryl Homer,6,4,left,https://clips.fencingdatabase.com/cairosabre2019/HeartyFemaleGrayfox.mp4
0,FlatShrillIndianhare,budapestsabre2019,sabre,male,Leonardo Dreossi,Luca Curatoli,13,14,right,https://clips.fencingdatabase.com/budapestsabre2019/FlatShrillIndianhare.mp4
0,InferiorEachBackswimmer,bern2018,epee,male,Federico Vismara,Damian Michalak,6,7,right,https://clips.fencingdatabase.com/bern2018/InferiorEachBackswimmer.mp4
0,AffectionateWigglyBluetickcoonhound,cali2018,epee,,Minobe Kazuyasu,Francisco Limardo,0,1,right,https://clips.fencingdatabase.com/cali2018/AffectionateWigglyBluetickcoonhound.mp4
0,WateryShinyBagworm,seoulsabre2019,sabre,female,Martina Criscio,Olga Nikitina,3,1,left,https://clips.fencingdatabase.com/seoulsabre2019/WateryShinyBagworm.mp4
0,PassionateOffbeatFairybluebird,bern2018,epee,male,Nikita Glazkov,Uyama Satoru,3,3,left,https://clips.fencingdatabase.com/bern2018/PassionateOffbeatFairybluebird.mp4
0,SnappyBaggyGodwit,barcelona2019,epee,female,Sun Yiwen,Josephine Jacques   Andre   Coquin,10,10,left,https://clips.fencingdatabase.com/barcelona2019/SnappyBaggyGodwit.mp4
0,WaryThirstyAnt,budapestwch2019,epee,female,Coraline Vitalis,Maria Martinez,3,2,right,https://clips.fencingdatabase.com/budapestwch2019/WaryThirstyAnt.mp4
0,ShockedEasyIndri,tallinn2019,epee,female,Tatiana Gudkova,Lin Sheng,9,14,double,https://clips.fencingdatabase.com/tallinn2019/ShockedEasyIndri.mp4
0,ShockedEasyIndri,tallinn2019,epee,female,Tatiana Gudkova,Lin Sheng,9,14,double,https://clips.fencingdatabase.com/tallinn2019/ShockedEasyIndri.mp4
0,CarefreeChubbyFinnishspitz,doha2017,epee,,Federico Vismara,Jung Jinsun,5,7,double,https://clips.fencingdatabase.com/doha2017/CarefreeChubbyFinnishspitz.mp4
0,LeanUnconsciousGreyhounddog,budapestwch2019,epee,female,Lizzie Asis,Ana Maria Popescu,9,11,left,https://clips.fencingdatabase.com/budapestwch2019/LeanUnconsciousGreyhounddog.mp4
